Row Labels,B,E,M,R,Y,Grand Total
Addison,21,0,1,24,2,48
Afton,22,0,1,14,0,37
Alden,0,0,0,1,0,1
Alexandria,1,0,0,2,0,3
Alfred,5,0,0,6,0,11
Allegan,0,0,0,1,0,1
Allegany,22,0,1,43,0,66
Allen,0,0,2,5,0,7
Alma,29,0,3,33,0,65
Almond,11,0,1,15,0,27
Altamont,0,10,0,8,0,18
Altona,1,15,5,9,0,30
Amenia,15,0,0,9,0,24
Amity,15,0,0,9,0,24
Amsterdam,0,0,0,1,0,1
Ancram,15,0,2,7,0,24
Andes,33,52,0,58,0,143
Andover,14,0,1,17,0,32
Angelica,6,0,0,9,0,15
Annsville,2,0,0,0,0,2
Antwerp,21,16,6,59,0,102
Arcadia,0,0,0,1,0,1
Argyle,0,0,0,1,0,1
Arietta,3,10,2,54,0,69
Arkwright,12,0,3,10,0,25
Ashford,3,0,1,9,0,13
Ashland,24,11,0,44,1,80
Athens,5,0,0,2,0,7
Ausable,4,22,2,6,0,34
Austerlitz,6,0,1,7,1,15
Ava,0,0,2,4,0,6
Avoca,8,0,1,7,0,16
Avon,1,0,0,1,0,2
Bainbridge,1,0,0,7,0,8
Baldwin,2,0,0,2,0,4
Ballston,1,0,0,0,0,1
Bangor,1,2,0,5,0,8
Barker,2,0,0,0,0,2
Barre,1,0,0,0,0,1
Barrington,1,0,0,1,0,2
Barton,9,0,0,6,0,15
Bath,24,0,1,45,0,70
Beacon City,0,0,0,1,0,1
Beekman,3,0,0,0,0,3
Beekmantown,0,2,2,5,0,9
Belfast,13,0,0,11,0,24
Bellmont,2,16,7,32,0,57
Bennington,1,0,0,0,0,1
Benson,2,17,4,24,0,47
Berlin,11,0,1,27,0,39
Berne,6,0,0,22,0,28
Bethel,52,36,0,55,0,143
Bethlehem,2,0,0,5,0,7
Big Flats,14,0,0,14,0,28
Binghamton,5,0,0,1,0,6
Birdsall,2,0,0,8,0,10
Black Brook,6,35,11,48,0,100
Bleecker,0,14,6,32,0,52
Blenheim,15,0,0,20,0,35
Blooming Grove,17,3,0,20,0,40
Bolivar,17,0,2,23,0,42
Bolton,2,8,5,11,0,26
Bombay,0,0,2,1,0,3
Boonville,1,23,6,20,0,50
Boston,1,0,0,0,0,1
Bovina,6,12,0,17,0,35
Boylston,0,0,0,1,0,1
Bradford,3,0,0,1,0,4
Brandon,2,34,2,21,0,59
Brasher,1,2,0,3,0,6
Brighton,0,5,1,9,0,15
Bristol,1,0,0,1,0,2
Broadalbin,1,0,1,2,0,4
Brookfield,0,0,0,2,0,2
Broome,11,0,0,23,0,34
Brunswick,4,0,0,1,0,5
Burke,0,0,0,1,0,1
Burns,12,0,0,9,0,21
Busti,11,0,0,8,0,19
Butternuts,0,0,0,3,0,3
Byron,0,0,0,1,0,1
Cairo,27,22,2,55,0,106
Callicoon,19,18,0,18,0,55
Cambridge,11,0,1,26,0,38
Camden,0,0,0,1,0,1
Cameron,26,0,3,37,0,66
Campbell,17,0,0,13,0,30
Canaan,6,0,1,7,0,14
Canadice,0,0,0,1,0,1
Canandaigua,1,0,0,0,0,1
Candor,1,0,0,1,0,2
Caneadea,8,0,0,9,0,17
Canisteo,44,0,1,45,0,90
Canton,3,6,4,9,0,22
Caroga,2,3,0,23,1,29
Caroline,0,0,0,3,0,3
Carroll,12,0,0,31,0,43
Carrollton,21,0,1,41,0,63
Castile,3,0,1,1,0,5
