Town,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
Addison,1,0,1,1,3,4,3,0,4,4,2,3,7,7,5,3
Afton,2,4,3,0,1,3,3,3,3,2,1,0,3,4,2,3
Alden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alexandria,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Alfred,0,1,0,1,0,0,1,0,2,1,0,1,0,2,1,1
Allegany,3,5,1,3,12,9,9,1,2,0,2,2,3,5,5,5
Allen,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0
Alma,3,6,4,5,6,5,4,3,4,3,6,1,3,3,6,3
Almond,0,2,1,1,3,2,3,2,2,7,2,0,0,1,1,0
Altamont,4,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Altona,5,1,0,0,0,6,1,1,1,2,0,3,2,5,2,1
Amenia,0,0,0,0,0,0,2,3,0,1,4,2,1,3,7,1
Amity,1,1,3,1,0,1,1,0,1,2,2,1,5,3,0,2
Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ancram,0,0,0,0,1,0,0,1,1,1,2,4,1,8,3,2
Andes,1,3,7,4,7,7,9,14,13,19,6,8,8,16,12,9
Andover,2,5,1,3,3,1,0,2,4,2,3,1,0,2,2,1
Angelica,0,0,0,0,1,0,2,1,2,1,1,0,2,1,3,1
Annsville,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Antwerp,8,5,2,5,7,6,4,5,8,3,10,5,12,7,9,6
Arcadia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Argyle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arietta,3,15,7,3,6,1,9,3,3,3,6,1,1,1,6,1
Arkwright,0,2,0,0,1,1,3,1,3,1,2,2,1,3,4,1
Ashford,0,0,1,0,2,1,0,1,0,0,0,1,0,2,5,0
Ashland,6,8,3,2,3,3,4,5,7,4,4,9,6,5,5,6
Athens,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
AuSable,4,0,1,1,0,6,1,0,5,6,0,6,1,2,0,1
Austerlitz,0,0,0,0,1,0,0,1,1,0,1,2,3,4,1,1
Ava,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
Avoca,0,0,0,1,2,0,0,0,1,0,3,1,5,1,1,1
Avon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bainbridge,0,0,1,0,0,0,1,0,3,2,0,0,1,0,0,0
Baldwin,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ballston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bangor,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,2
Barker,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Barre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Barrington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Barton,0,2,1,0,2,2,0,2,1,1,2,1,0,1,0,0
Bath,3,3,5,1,7,7,4,3,5,3,3,3,5,5,7,6
Beacon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beekman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Beekmantown,0,0,2,0,0,2,1,0,1,1,0,2,0,0,0,0
Belfast,2,2,2,0,1,1,4,1,1,2,1,0,2,2,1,2
Bellmont,2,5,4,5,0,2,1,5,5,2,8,5,1,1,9,2
Bennington,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benson,5,4,7,4,1,3,4,0,0,2,0,4,4,3,4,2
