UNIT,TotalAllTime
3A,3016
3C,1442
3F,20
3G,170
3H,1350
3J,480
3K,2387
3M,1506
3N,14
3P,269
3R,40
3S,8
4A,16
4B,28
4C,45
4F,132
4G,270
4H,142
4J,1
4K,65
4L,109
4O,690
4P,492
4R,993
4S,237
4T,16
4U,57
4W,1266
4Y,24
4Z,137
5A,696
5C,2723
5F,2111
5G,1513
5H,7817
5J,898
5R,8
5S,174
5T,4
6A,132
6C,1718
6F,2823
6G,21
6H,529
6J,3623
6K,279
6N,160
6R,111
6S,13
7A,1
7M,39
7P,51
7R,42
7S,308
8F,1
8G,6
8H,8
8J,8
8M,38
8N,44
8P,190
8R,40
8S,5
8T,500
8W,123
8X,810
8Y,467
9A,2
9F,2
9G,7
9H,28
9J,456
9K,123
9M,114
9N,30
9P,449
9R,452
9S,89
9T,486
9W,123
9X,516
9Y,197
