UNIT,1988 Adult Male,1988 Fawn Male,1988 Adult Female,1988 Fawn Female,1989 Adult Male,1989 Fawn Male,1989 Adult Female,1989 Fawn Female,1990 Adult Male,1990 Fawn Male,1990 Adult Female,1990 Fawn Female,1991 Adult Male,1991 Fawn Male,1991 Adult Female,1991 Fawn Female,1992 Adult Male,1992 Fawn Male,1992 Adult Female,1992 Fawn Female,1993 Adult Male,1993 Fawn Male,1993 Adult Female,1993 Fawn Female,1994 Adult Male,1994 Fawn Male,1994 Adult Female,1994 Fawn Female,1995 Adult Male,1995 Fawn Male,1995 Adult Female,1995 Fawn Female,1996 Adult Male,1996 Fawn Male,1996 Adult Female,1996 Fawn Female,1997 Adult Male,1997 Fawn Male,1997 Adult Female,1997 Fawn Female,1998 Adult Male,1998 Fawn Male,1998 Adult Female,1998 Fawn Female,1999 Adult Male,1999 Fawn Male,1999 Adult Female,1999 Fawn Female,2000 Adult Male,2000 Fawn Male,2000 Adult Female,2000 Fawn Female,2001 Adult Male,2001 Fawn Male,2001 Adult Female,2001 Fawn Female,2002 Adult Male,2002 Fawn Male,2002 Adult Female,2002 Fawn Female,2003 Adult Male,2003 Fawn Male,2003 Adult Female,2003 Fawn Female,2004 Adult Male,2004 Fawn Male,2004 Adult Female,2004 Fawn Female,2005 Adult Male,2005 Fawn Male,2005 Adult Female,2005 Fawn Female,2006 Adult Male,2006 Fawn Male,2006 Adult Female,2006 Fawn Female,2007 Adult Male,2007 Fawn Male,2007 Adult Female,2007 Fawn Female,2008 Adult Male,2008 Fawn Male,2008 Adult Female,2008 Fawn Female,2009 Adult Male,2009 Fawn Male,2009 Adult Female,2009 Fawn Female,2010 Adult Male,2010 Fawn Male,2010 Adult Female,2010 Fawn Female,2011 Adult Male,2011 Fawn Male,2011 Adult Female,2011 Fawn Female,2012 Adult Male,2012 Fawn Male,2012 Adult Female,2012 Fawn Female,2013 Adult Male,2013 Fawn Male,2013 Adult Female,2013 Fawn Female,2014 Adult Male,2014 Fawn Male,2014 Adult Female,2014 Fawn Female,2015 Adult Male,2015 Fawn Male,2015 Adult Female,2015 Fawn Female,2016 Adult Male,2016 Fawn Male,2016 Adult Female,2016 Fawn Female,2017 Adult Male,2017 Fawn Male,2017 Adult Female,2017 Fawn Female,2018 Adult Male,2018 Fawn Male,2018 Adult Female,2018 Fawn Female,2019 Adult Male,2019 Fawn Male,2019 Adult Female,2019 Fawn Female,2020 Adult Male,2020 Fawn Male,2020 Adult Female,2020 Fawn Female,2021 Adult Male,2021 Fawn Male,2021 Adult Female,2021 Fawn Female,2022 Adult Male,2022 Fawn Male,2022 Adult Female,2022 Fawn Female,2023 Adult Male,2023 Fawn Male,2023 Adult Female,2023 Fawn Female
1C,167,75,168,55,154,54,132,46,181,63,152,64,275,114,231,75,361,159,294,137,400,204,407,176,422,232,479,181,453,272,484,206,575,281,553,217,507,226,462,212,554,217,545,308,638,258,618,351,745,347,789,397,786,289,676,293,691,355,767,335,759,321,938,438,650,264,772,328,614,260,911,291,850,275,937,295,781,228,876,274,805,308,1002,413,823,309,1253,392,958,378,1220,435,983,327,1211,465,985,259,1079,332,983,324,1188,378,1175,454,1467,395,1205,361,1401,430,1321,266,1241,379,1320,341,1222,370,1281,420,1271,435,1594,152,2125,253,1861,386,1909,369,1457,368,927,270,1310,254,862,274,1190,232,877,367
3A,1187,269,706,206,1373,157,349,135,1293,105,290,83,1650,128,368,114,1863,195,496,166,1499,151,438,123,1317,88,253,62,1717,110,338,87,1076,76,250,61,1142,72,238,61,1069,21,79,20,997,25,114,22,1141,27,125,24,983,39,150,32,1127,50,221,46,779,39,177,44,571,26,136,27,702,24,125,15,741,24,118,20,905,23,121,18,973,38,164,24,814,25,128,22,824,25,129,23,687,22,126,18,667,18,115,16,804,28,148,18,775,40,175,34,625,23,117,12,652,8,104,10,662,28,99,14,775,20,99,18,749,3,139,6,893,5,172,7,812,2,119,2,715,15,169,16,783,15,103,10
3C,730,182,471,141,862,125,270,108,799,87,230,70,830,80,221,70,1141,108,269,91,961,116,329,96,859,90,249,63,1081,102,314,88,844,116,371,93,933,105,339,88,889,102,381,89,997,123,432,102,1063,131,549,112,798,135,582,110,866,150,628,146,986,157,679,162,834,207,1027,218,299,72,295,64,508,64,284,55,490,131,483,101,433,99,423,91,514,102,420,76,538,54,247,41,786,64,292,62,645,78,444,74,679,82,365,63,578,62,377,70,547,38,262,36,692,32,263,33,629,50,280,38,761,48,311,59,728,30,341,33,850,63,548,66,472,22,260,24,756,28,289,25,717,45,262,39
3F,887,167,421,126,980,196,422,168,1144,160,420,127,973,179,509,163,1138,249,635,214,1125,245,707,204,873,216,625,158,957,169,517,136,991,182,594,149,1019,208,699,181,924,150,573,138,998,201,727,170,1139,202,867,178,1049,186,803,152,1113,231,960,218,1061,201,837,203,895,225,1136,244,781,192,800,169,775,146,610,130,910,185,694,147,906,175,766,161,767,200,858,162,810,157,697,121,846,120,598,124,913,137,787,131,776,187,836,134,682,133,765,145,556,72,533,78,755,72,525,72,595,77,452,62,630,70,477,88,611,53,527,59,527,60,532,74,256,22,239,25,349,13,179,13,405,13,165,13
3G,2013,438,1139,337,2302,498,1091,433,2384,399,1081,318,2112,402,1189,381,2688,607,1555,529,2304,700,2066,597,1721,425,1222,304,2106,324,1021,275,1921,440,1439,358,2071,389,1309,342,1994,401,1519,360,1974,432,1624,379,2145,395,1703,338,1631,340,1468,268,1540,353,1446,333,1359,275,1120,259,1368,297,1473,310,1167,199,828,176,1076,161,633,129,1117,178,677,152,1238,184,813,169,1096,167,736,138,1018,162,731,134,1096,123,606,116,1072,119,649,109,909,130,607,98,775,104,566,113,596,82,474,65,706,47,372,53,704,60,323,43,815,59,349,61,878,33,380,35,825,77,679,92,670,35,396,37,668,40,383,34,629,39,330,37
3H,2139,505,1318,389,2286,507,1110,440,2171,386,1058,312,2069,296,854,275,2367,385,983,336,1990,324,941,276,1797,205,588,150,2294,196,597,160,1951,289,935,234,2050,241,801,212,2158,287,1063,250,1972,320,1224,294,2401,277,1232,243,1862,317,1353,257,1954,289,1163,270,1483,252,1064,258,1084,104,521,109,1297,62,288,49,876,129,497,106,1181,211,786,177,1127,210,936,190,1245,175,809,147,1361,119,632,117,1534,133,733,140,1619,140,771,133,1577,179,852,139,1418,159,811,157,1210,116,690,93,1548,79,631,85,1364,169,771,100,1501,144,693,132,1864,106,1034,113,1862,146,1387,169,1719,97,957,87,1898,144,1105,122,1756,332,900,321
3J,966,252,650,192,1172,185,397,156,1085,162,435,126,1094,168,469,152,1550,223,561,194,1289,271,787,229,1138,191,548,140,1380,217,665,178,1247,237,780,196,1354,199,663,176,1265,228,855,203,1294,230,849,204,1392,205,881,178,1138,228,1007,187,1268,206,874,196,1316,200,801,188,1082,207,1044,224,626,131,579,122,712,158,672,141,679,187,710,167,684,152,687,144,797,170,721,134,769,135,589,109,1050,142,672,131,1086,135,741,126,974,163,748,118,857,137,856,165,734,92,598,90,907,98,663,100,808,85,518,73,879,84,512,97,974,59,599,61,988,94,785,107,565,31,372,37,697,47,450,41,691,46,362,45
3K,1496,358,925,271,1477,378,829,239,1417,255,699,205,1311,218,642,206,1481,243,620,210,1227,222,646,183,990,141,413,101,1282,126,395,108,1096,167,557,141,1450,140,468,121,1243,194,735,174,1227,186,697,164,1342,195,844,169,1258,177,770,143,1332,190,774,169,1150,145,608,146,922,103,495,104,833,27,112,20,656,77,331,65,655,102,409,84,701,85,360,72,569,73,313,58,692,53,213,38,777,55,274,49,674,33,194,29,718,48,199,30,743,41,191,39,543,20,114,14,783,13,126,14,720,39,205,28,767,36,190,35,709,14,207,16,862,41,411,44,887,21,288,18,1029,53,443,48,912,58,294,51
3M,1928,454,1168,347,2329,494,1072,427,2342,426,1141,343,2271,482,1400,445,3090,739,1887,645,2620,816,2407,698,2246,552,1596,399,2458,522,1629,434,2518,596,1937,486,2937,564,1905,500,3096,636,2382,562,3229,687,2510,596,3441,735,3143,633,2745,659,2858,524,3062,762,3113,702,2899,735,2997,716,2459,637,3202,685,2514,547,2228,473,2820,491,2067,429,2765,701,2520,566,3052,660,2884,599,3204,977,3991,762,3201,913,3920,695,3498,764,3440,728,3470,709,3983,667,3274,834,3669,590,3056,676,4220,785,2162,422,2983,457,2880,453,2981,467,2553,429,2750,391,2837,399,2765,500,3024,307,2661,331,2546,366,2696,405,2023,221,2024,242,2199,271,2180,237,2190,203,1760,210
3N,760,165,409,122,832,162,342,137,885,137,368,112,817,150,425,137,920,175,438,153,799,188,540,157,860,139,408,103,916,183,574,155,750,157,517,132,886,154,518,136,647,107,383,87,666,110,393,96,740,109,452,90,620,88,382,72,696,117,472,105,747,148,600,144,626,124,622,132,578,127,514,108,540,88,382,76,604,84,323,67,593,109,487,100,575,123,511,95,578,74,344,56,557,75,339,65,585,71,374,65,470,81,355,56,412,46,276,51,400,44,288,43,422,35,249,35,367,34,199,26,419,31,208,36,423,21,220,23,240,24,227,28,280,11,140,12,327,19,182,16,277,12,124,10
