NAME,Bow 2007,Early 2007,Muzzleloader 2007,Rifle 2007,2007 Total,Bow 2008,Early 2008,Muzzleloader 2008,Rifle 2008,2008 Total,Bow 2009,Early 2009,Muzzleloader 2009,Rifle 2009,Unknown 2009 ,2009 Total,Bow 2010,Early 2010,Muzzleloader 2010,Rifle 2010 ,2010 Total,Bow 2011,Early 2011 ,Muzzleloader 2011 ,Rifle 2011,2011 Total,Bow 2012,Early 2012,Muzzleloader 2012,Rifle 2012,2012 Total,Bow 2013,Early 2013,Muzzleloader 2013,Rifle 2013,2013 Total,Bow 2014,Early 2014,Muzzleloader 2014,Rifle 2014,2014 Total,Bow 2015,Early 2015,Muzzleloader 2015,Rifle 2015 ,2015 Total,Bow 2016,Early 2016,Muzzleloader 2016,Rifle 2016,Unknown 2016,2016 Total,Bow 2017,Early 2017,Muzzleloader 2017,Rifle 2017,Unknown 2017,2017 Total,Bow 2018,Early 2018,Muzzleloader 2018,Rifle 2018,Unknown 2018,2018 Total,Bow 2019,Early 2019,Muzzleloader 2019 ,Rifle 2019,Unknown 2019,2019 Total,Bow 2020,Early 2020,Muzzleloader 2020,Rifle 2020,Unknown 2020,2020 Total,Bow 2021,Early 2021,Muzzleloader 2021,Rifle 2021,Unknown 2021,2021 Total,Bow 2022,Early 2022,Muzzleloader 2022,Rifle 2022,Unknown 2022,Grand Total
Addison,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,3,1,0,0,3,4,1,0,0,2,3,0,0,0,0,0,2,0,0,2,4,3,0,0,1,0,4,0,0,0,2,0,2,1,0,0,2,0,3,3,0,0,4,0,7,4,0,0,2,1,7,0,0,1,3,1,5,2,0,0,1,0,48
Afton,2,0,0,0,2,2,0,0,2,4,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,2,3,3,0,0,0,3,1,0,0,2,3,1,0,0,2,3,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,4,0,0,0,0,4,1,0,0,1,0,2,1,0,0,2,0,37
Alden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
Alfred,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,11
Allegan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allegany,1,0,0,2,3,2,0,0,3,5,0,0,0,1,0,1,2,0,0,1,3,3,0,0,9,12,4,0,0,5,9,2,0,0,6,8,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,2,1,0,0,2,0,3,2,0,0,3,0,5,1,0,0,4,0,5,2,0,0,3,0,66
Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7
Alma,1,0,0,2,3,3,0,1,2,6,4,0,0,0,0,4,3,0,0,2,5,1,0,0,5,6,3,0,0,2,5,1,0,0,3,4,1,0,0,2,3,1,0,0,3,4,0,0,1,2,0,3,2,0,0,4,0,6,0,0,1,0,0,1,2,0,0,1,0,3,1,0,0,2,0,3,4,0,0,2,0,6,2,0,0,1,0,65
Almond,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,3,1,0,0,1,2,1,0,0,2,3,2,0,0,0,2,2,0,0,0,2,2,0,0,5,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,27
